USER   |PASSWORD|TRAVEL_DATE|DESTINATION|
USER_1 | PASS_1 | 4/29/2016 | TRJ |
USER_2 | PASS_2 | 6/5/2016 | PND |
USER_3 | PASS_3 | 6/8/2016 | LP |
USER_4 | PASS_4 | 9/5/2016 | LP |
USER_5 | PASS_5 | 1/2/2016 | PND |
USER_6 | PASS_6 | 4/25/2016 | OR |
USER_7 | PASS_7 | 4/5/2016 | CBBA |
USER_8 | PASS_8 | 11/9/2016 | BN |
USER_9 | PASS_9 | 12/8/2016 | PND |
USER_10 | PASS_10 | 4/29/2016 | SC |
USER_11 | PASS_11 | 8/18/2016 | CHQ |
USER_12 | PASS_12 | 4/22/2016 | PTS |
USER_13 | PASS_13 | 5/24/2016 | PTS |
USER_14 | PASS_14 | 9/29/2016 | SC |
USER_15 | PASS_15 | 5/2/2016 | OR |
USER_16 | PASS_16 | 11/9/2016 | CBBA |
USER_17 | PASS_17 | 3/22/2016 | CHQ |
USER_18 | PASS_18 | 9/21/2016 | LP |
USER_19 | PASS_19 | 6/4/2016 | PND |
USER_20 | PASS_20 | 6/26/2016 | SC |
USER_21 | PASS_21 | 10/9/2016 | PND |
USER_22 | PASS_22 | 12/7/2016 | BN |
USER_23 | PASS_23 | 6/13/2016 | CBBA |
USER_24 | PASS_24 | 6/1/2016 | CBBA |
USER_25 | PASS_25 | 5/25/2016 | PTS |
USER_26 | PASS_26 | 4/11/2016 | CBBA |
USER_27 | PASS_27 | 10/23/2016 | PND |
USER_28 | PASS_28 | 2/10/2016 | BN |
USER_29 | PASS_29 | 6/4/2016 | SC |
USER_30 | PASS_30 | 12/2/2016 | CBBA |
USER_31 | PASS_31 | 6/5/2016 | OR |
USER_32 | PASS_32 | 2/15/2016 | CHQ |
USER_33 | PASS_33 | 11/1/2016 | CHQ |
USER_34 | PASS_34 | 8/7/2016 | SC |
USER_35 | PASS_35 | 2/8/2016 | PND |
USER_36 | PASS_36 | 11/24/2016 | PND |
USER_37 | PASS_37 | 12/2/2016 | PTS |
USER_38 | PASS_38 | 4/19/2016 | OR |
USER_39 | PASS_39 | 3/8/2016 | OR |
USER_40 | PASS_40 | 8/19/2016 | TRJ |
USER_41 | PASS_41 | 11/10/2016 | TRJ |
USER_42 | PASS_42 | 11/10/2016 | LP |
USER_43 | PASS_43 | 7/7/2016 | TRJ |
USER_44 | PASS_44 | 6/23/2016 | CBBA |
USER_45 | PASS_45 | 1/7/2016 | TRJ |
USER_46 | PASS_46 | 5/5/2016 | CBBA |
USER_47 | PASS_47 | 8/4/2016 | CBBA |
USER_48 | PASS_48 | 6/3/2016 | PTS |
USER_49 | PASS_49 | 4/21/2016 | TRJ |
USER_50 | PASS_50 | 12/16/2016 | PTS |
USER_51 | PASS_51 | 2/5/2016 | PTS |
USER_52 | PASS_52 | 12/19/2016 | BN |
USER_53 | PASS_53 | 8/14/2016 | SC |
USER_54 | PASS_54 | 1/2/2016 | CBBA |
USER_55 | PASS_55 | 5/11/2016 | BN |
USER_56 | PASS_56 | 6/17/2016 | CBBA |
USER_57 | PASS_57 | 4/16/2016 | PND |
USER_58 | PASS_58 | 6/9/2016 | OR |
USER_59 | PASS_59 | 2/29/2016 | LP |
USER_60 | PASS_60 | 9/23/2016 | BN |
USER_61 | PASS_61 | 5/22/2016 | PND |
USER_62 | PASS_62 | 9/13/2016 | PTS |
USER_63 | PASS_63 | 1/1/2016 | PTS |
USER_64 | PASS_64 | 11/14/2016 | CHQ |
USER_65 | PASS_65 | 4/14/2016 | BN |
USER_66 | PASS_66 | 1/24/2016 | SC |
USER_67 | PASS_67 | 12/18/2016 | SC |
USER_68 | PASS_68 | 5/2/2016 | SC |
USER_69 | PASS_69 | 7/10/2016 | LP |
USER_70 | PASS_70 | 9/10/2016 | SC |
USER_71 | PASS_71 | 6/2/2016 | PND |
USER_72 | PASS_72 | 1/12/2016 | TRJ |
USER_73 | PASS_73 | 10/18/2016 | CHQ |
USER_74 | PASS_74 | 10/15/2016 | OR |
USER_75 | PASS_75 | 7/26/2016 | BN |
USER_76 | PASS_76 | 1/21/2016 | PND |
USER_77 | PASS_77 | 2/17/2016 | PTS |
USER_78 | PASS_78 | 9/12/2016 | PTS |
USER_79 | PASS_79 | 8/30/2016 | PND |
USER_80 | PASS_80 | 1/16/2016 | OR |
USER_81 | PASS_81 | 4/25/2016 | OR |
USER_82 | PASS_82 | 3/19/2016 | TRJ |
USER_83 | PASS_83 | 2/5/2016 | PTS |
USER_84 | PASS_84 | 10/28/2016 | TRJ |
USER_85 | PASS_85 | 10/29/2016 | CBBA |
USER_86 | PASS_86 | 7/22/2016 | PND |
USER_87 | PASS_87 | 11/3/2016 | PTS |
USER_88 | PASS_88 | 8/20/2016 | CBBA |
USER_89 | PASS_89 | 2/8/2016 | SC |
USER_90 | PASS_90 | 11/8/2016 | TRJ |
USER_91 | PASS_91 | 4/23/2016 | SC |
USER_92 | PASS_92 | 9/2/2016 | OR |
USER_93 | PASS_93 | 3/1/2016 | OR |
USER_94 | PASS_94 | 4/20/2016 | CBBA |
USER_95 | PASS_95 | 3/5/2016 | LP |
USER_96 | PASS_96 | 11/21/2016 | PND |
USER_97 | PASS_97 | 10/12/2016 | LP |
USER_98 | PASS_98 | 6/22/2016 | LP |
USER_99 | PASS_99 | 1/20/2016 | SC |
USER_100 | PASS_100 | 5/16/2016 | PTS |
